source_id	url_or_file	first_seen	source_type	raw_company_name	normalized_company_name	country	status	reason
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-38	2026-05-19	official_list	FRIGORIFICO CONCEPCION S.A.	FRIGORIFICO CONCEPCION	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-avicar-foods-1b8gth8	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-11	2026-05-19	official_list	AVICAR FOODS	AVICAR FOODS	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-victoria-10h2fz0	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-14	2026-05-19	official_list	FRIGORIFICO VICTORIA	FRIGORIFICO VICTORIA	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-norte-kxkeza	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-15	2026-05-19	official_list	FRIGORIFICO NORTE S.A.	FRIGORIFICO NORTE	Paraguay	added	新增线索
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-736nno	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-49/C2	2026-05-19	official_list	FRIGORIFICO CONCEPCION S.A.	FRIGORIFICO CONCEPCION	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-ytzsdm	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-42/C1	2026-05-19	official_list	FRIGORIFICO CONCEPCION S.A.	FRIGORIFICO CONCEPCION	Paraguay	skipped_dup	重复 URL、注册号或公司+国家
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-concepcion-roque-alonso-1u6hrq	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-42	2026-05-19	official_list	MATADERO FRIGORIFICO CONCEPCION S.A. ROQUE ALONSO	MATADERO FRIGORIFICO CONCEPCION ROQUE ALONSO	Paraguay	added	新增线索
auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	https://uymeats.com/product/frigorifico-carrasco-s-a-2/	2026-05-19	official_list	Frigorífico Carrasco S.A.	Frigorífico Carrasco	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-breeders-and-packers-uruguay-1gvbtj6	https://uymeats.com/product/breeders-packers-uruguay-s-a/	2026-05-19	official_list	Breeders & Packers Uruguay S.A	Breeders & Packers Uruguay	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-pul-1mdn3d6	https://uymeats.com/product/frigorifico-pul-s-a/	2026-05-19	official_list	Frigorifico PUL S.A	Frigorifico PUL	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
